"","X","acne","treatment","color"
"3740",3740,0,"placebo","turquoise"
"9182",9182,0,"placebo","peach"
"4242",4242,1,"placebo","magenta"
"4056",4056,0,"placebo","magenta"
"2065",2065,0,"jellybean","teal"
"431",431,1,"jellybean","purple"
"4645",4645,0,"jellybean","yellow"
"854",854,0,"placebo","brown"
"1420",1420,0,"placebo","pink"
"4703",4703,1,"jellybean","yellow"
"7296",7296,0,"placebo","mauve"
"3797",3797,0,"jellybean","turquoise"
"9305",9305,0,"jellybean","peach"
"7863",7863,0,"jellybean","beige"
"88",88,1,"placebo","purple"
"9630",9630,0,"placebo","orange"
"2037",2037,0,"jellybean","teal"
"8790",8790,1,"placebo","black"
"8768",8768,0,"placebo","black"
"6679",6679,0,"jellybean","lilac"
"8547",8547,0,"jellybean","black"
"8088",8088,0,"placebo","red"
"1292",1292,0,"placebo","pink"
"3544",3544,0,"placebo","turquoise"
"3359",3359,1,"jellybean","green"
"1217",1217,0,"jellybean","pink"
"8853",8853,1,"jellybean","black"
"2673",2673,0,"jellybean","salmon"
"1035",1035,0,"jellybean","pink"
"6254",6254,0,"placebo","cyan"
"4922",4922,0,"placebo","yellow"
"6650",6650,1,"placebo","lilac"
"6974",6974,0,"placebo","lilac"
"1242",1242,0,"placebo","pink"
"2180",2180,0,"placebo","teal"
"4655",4655,0,"jellybean","yellow"
"1309",1309,0,"jellybean","pink"
"2379",2379,0,"jellybean","teal"
"250",250,0,"placebo","purple"
"7446",7446,0,"placebo","mauve"
"7849",7849,0,"jellybean","beige"
"8668",8668,0,"placebo","black"
"6986",6986,0,"placebo","lilac"
"8024",8024,0,"placebo","red"
"9582",9582,0,"placebo","orange"
"8932",8932,1,"placebo","black"
"2",2,0,"placebo","purple"
"3914",3914,0,"placebo","turquoise"
"3991",3991,0,"jellybean","turquoise"
"3505",3505,0,"jellybean","turquoise"
"8422",8422,0,"placebo","red"
"8902",8902,0,"placebo","black"
"571",571,0,"jellybean","brown"
"863",863,0,"jellybean","brown"
"5448",5448,0,"placebo","grey"
"4870",4870,0,"placebo","yellow"
"1226",1226,0,"placebo","pink"
"1028",1028,0,"placebo","pink"
"3926",3926,0,"placebo","turquoise"
"1715",1715,0,"jellybean","blue"
"4714",4714,0,"placebo","yellow"
"5010",5010,0,"placebo","grey"
"9513",9513,1,"jellybean","orange"
"9645",9645,0,"jellybean","orange"
"8930",8930,0,"placebo","black"
"5596",5596,0,"placebo","tan"
"3841",3841,0,"jellybean","turquoise"
"6165",6165,0,"jellybean","cyan"
"3239",3239,0,"jellybean","green"
"3609",3609,1,"jellybean","turquoise"
"1822",1822,0,"placebo","blue"
"9581",9581,0,"jellybean","orange"
"6901",6901,1,"jellybean","lilac"
"1911",1911,0,"jellybean","blue"
"1967",1967,0,"jellybean","blue"
"2623",2623,0,"jellybean","salmon"
"589",589,1,"jellybean","brown"
"7370",7370,0,"placebo","mauve"
"7981",7981,0,"jellybean","beige"
"3273",3273,1,"jellybean","green"
"8170",8170,0,"placebo","red"
"4913",4913,0,"jellybean","yellow"
"8554",8554,0,"placebo","black"
"225",225,0,"jellybean","purple"
"9031",9031,0,"jellybean","peach"
"3782",3782,0,"placebo","turquoise"
"5149",5149,0,"jellybean","grey"
"1596",1596,0,"placebo","blue"
"3309",3309,0,"jellybean","green"
"8781",8781,0,"jellybean","black"
"7416",7416,0,"placebo","mauve"
"8710",8710,0,"placebo","black"
"2315",2315,0,"jellybean","teal"
"1519",1519,0,"jellybean","blue"
"2651",2651,1,"jellybean","salmon"
"4629",4629,0,"jellybean","yellow"
"8082",8082,0,"placebo","red"
"9124",9124,0,"placebo","peach"
"2915",2915,1,"jellybean","salmon"
"1797",1797,0,"jellybean","blue"
"3884",3884,0,"placebo","turquoise"
"1366",1366,0,"placebo","pink"
"9187",9187,0,"jellybean","peach"
"5689",5689,0,"jellybean","tan"
"8270",8270,1,"placebo","red"
"1876",1876,1,"placebo","blue"
"6936",6936,0,"placebo","lilac"
"5535",5535,0,"jellybean","tan"
"5024",5024,0,"placebo","grey"
"7472",7472,0,"placebo","mauve"
"8815",8815,0,"jellybean","black"
"1311",1311,0,"jellybean","pink"
"6780",6780,1,"placebo","lilac"
"84",84,0,"placebo","purple"
"9891",9891,0,"jellybean","orange"
"115",115,0,"jellybean","purple"
"6891",6891,0,"jellybean","lilac"
"2924",2924,0,"placebo","salmon"
"7278",7278,0,"placebo","mauve"
"5178",5178,0,"placebo","grey"
"3552",3552,0,"placebo","turquoise"
"978",978,0,"placebo","brown"
"8434",8434,0,"placebo","red"
"3719",3719,0,"jellybean","turquoise"
"172",172,0,"placebo","purple"
"2411",2411,1,"jellybean","teal"
"3642",3642,0,"placebo","turquoise"
"6633",6633,0,"jellybean","lilac"
"644",644,0,"placebo","brown"
"1725",1725,0,"jellybean","blue"
"9952",9952,0,"placebo","orange"
"1155",1155,0,"jellybean","pink"
"7554",7554,0,"placebo","beige"
"7665",7665,0,"jellybean","beige"
"4572",4572,1,"placebo","yellow"
"7632",7632,0,"placebo","beige"
"1219",1219,0,"jellybean","pink"
"3992",3992,0,"placebo","turquoise"
"6973",6973,0,"jellybean","lilac"
"3765",3765,0,"jellybean","turquoise"
"8494",8494,1,"placebo","red"
"7245",7245,0,"jellybean","mauve"
"8954",8954,1,"placebo","black"
"4760",4760,0,"placebo","yellow"
"2179",2179,0,"jellybean","teal"
"123",123,0,"jellybean","purple"
"6652",6652,1,"placebo","lilac"
"8299",8299,1,"jellybean","red"
"3157",3157,0,"jellybean","green"
"3055",3055,0,"jellybean","green"
"6531",6531,0,"jellybean","lilac"
"2664",2664,0,"placebo","salmon"
"5506",5506,0,"placebo","tan"
"4497",4497,0,"jellybean","magenta"
"8400",8400,0,"placebo","red"
"9196",9196,0,"placebo","peach"
"418",418,0,"placebo","purple"
"9272",9272,0,"placebo","peach"
"884",884,0,"placebo","brown"
"4086",4086,1,"placebo","magenta"
"3861",3861,0,"jellybean","turquoise"
"7999",7999,1,"jellybean","beige"
"7001",7001,1,"jellybean","mauve"
"4017",4017,1,"jellybean","magenta"
"6346",6346,0,"placebo","cyan"
"7853",7853,1,"jellybean","beige"
"8729",8729,1,"jellybean","black"
"7148",7148,1,"placebo","mauve"
"1349",1349,0,"jellybean","pink"
"3378",3378,1,"placebo","green"
"1875",1875,0,"jellybean","blue"
"7410",7410,0,"placebo","mauve"
"8777",8777,0,"jellybean","black"
"4259",4259,0,"jellybean","magenta"
"122",122,0,"placebo","purple"
"4257",4257,0,"jellybean","magenta"
"195",195,1,"jellybean","purple"
"9188",9188,0,"placebo","peach"
"826",826,0,"placebo","brown"
"4354",4354,1,"placebo","magenta"
"7033",7033,0,"jellybean","mauve"
"5207",5207,1,"jellybean","grey"
"1119",1119,0,"jellybean","pink"
"6454",6454,1,"placebo","cyan"
"7214",7214,0,"placebo","mauve"
"7503",7503,1,"jellybean","beige"
"4493",4493,0,"jellybean","magenta"
"4236",4236,0,"placebo","magenta"
"462",462,0,"placebo","purple"
"8829",8829,0,"jellybean","black"
"6158",6158,0,"placebo","cyan"
"5332",5332,0,"placebo","grey"
"6861",6861,1,"jellybean","lilac"
"9727",9727,0,"jellybean","orange"
"7979",7979,0,"jellybean","beige"
"9147",9147,0,"jellybean","peach"
"9221",9221,0,"jellybean","peach"
"6270",6270,0,"placebo","cyan"
"8090",8090,1,"placebo","red"
"796",796,0,"placebo","brown"
"7896",7896,0,"placebo","beige"
"6239",6239,0,"jellybean","cyan"
"6205",6205,1,"jellybean","cyan"
"7742",7742,0,"placebo","beige"
"5780",5780,0,"placebo","tan"
"2186",2186,0,"placebo","teal"
"9987",9987,0,"jellybean","orange"
"6940",6940,0,"placebo","lilac"
"6554",6554,1,"placebo","lilac"
"368",368,0,"placebo","purple"
"3275",3275,1,"jellybean","green"
"5347",5347,0,"jellybean","grey"
"5743",5743,0,"jellybean","tan"
"2866",2866,0,"placebo","salmon"
"6055",6055,0,"jellybean","cyan"
"9387",9387,0,"jellybean","peach"
"3577",3577,0,"jellybean","turquoise"
"7193",7193,0,"jellybean","mauve"
"4107",4107,1,"jellybean","magenta"
"6280",6280,0,"placebo","cyan"
"4487",4487,0,"jellybean","magenta"
"1668",1668,0,"placebo","blue"
"2416",2416,0,"placebo","teal"
"4028",4028,0,"placebo","magenta"
"8987",8987,0,"jellybean","black"
"5256",5256,0,"placebo","grey"
"6185",6185,0,"jellybean","cyan"
"2181",2181,1,"jellybean","teal"
"3618",3618,0,"placebo","turquoise"
"9729",9729,0,"jellybean","orange"
"935",935,1,"jellybean","brown"
"1777",1777,0,"jellybean","blue"
"9116",9116,0,"placebo","peach"
"4466",4466,1,"placebo","magenta"
"8512",8512,1,"placebo","black"
"6875",6875,0,"jellybean","lilac"
"5181",5181,0,"jellybean","grey"
"8726",8726,0,"placebo","black"
"3820",3820,0,"placebo","turquoise"
"3421",3421,0,"jellybean","green"
"4869",4869,0,"jellybean","yellow"
"1374",1374,0,"placebo","pink"
"2287",2287,0,"jellybean","teal"
"3080",3080,0,"placebo","green"
"3371",3371,0,"jellybean","green"
"5244",5244,0,"placebo","grey"
"9174",9174,0,"placebo","peach"
"7493",7493,0,"jellybean","mauve"
"9240",9240,0,"placebo","peach"
"7490",7490,0,"placebo","mauve"
"4829",4829,0,"jellybean","yellow"
"253",253,0,"jellybean","purple"
"3874",3874,0,"placebo","turquoise"
"5667",5667,0,"jellybean","tan"
"3504",3504,0,"placebo","turquoise"
"794",794,0,"placebo","brown"
"6469",6469,0,"jellybean","cyan"
"208",208,0,"placebo","purple"
"6717",6717,0,"jellybean","lilac"
"9355",9355,0,"jellybean","peach"
"8531",8531,0,"jellybean","black"
"2123",2123,0,"jellybean","teal"
"8091",8091,0,"jellybean","red"
"7420",7420,0,"placebo","mauve"
"8664",8664,0,"placebo","black"
"8243",8243,0,"jellybean","red"
"3111",3111,0,"jellybean","green"
"8151",8151,1,"jellybean","red"
"6230",6230,0,"placebo","cyan"
"9444",9444,1,"placebo","peach"
"7705",7705,0,"jellybean","beige"
"6369",6369,0,"jellybean","cyan"
"5800",5800,0,"placebo","tan"
"2934",2934,0,"placebo","salmon"
"7367",7367,0,"jellybean","mauve"
"3200",3200,0,"placebo","green"
"8542",8542,0,"placebo","black"
"6077",6077,1,"jellybean","cyan"
"2456",2456,1,"placebo","teal"
"3915",3915,0,"jellybean","turquoise"
"1109",1109,1,"jellybean","pink"
"8616",8616,1,"placebo","black"
"7292",7292,0,"placebo","mauve"
"8977",8977,1,"jellybean","black"
"8430",8430,0,"placebo","red"
"5908",5908,0,"placebo","tan"
"3647",3647,0,"jellybean","turquoise"
"8093",8093,1,"jellybean","red"
"3644",3644,0,"placebo","turquoise"
"4376",4376,1,"placebo","magenta"
"2525",2525,0,"jellybean","salmon"
"2372",2372,0,"placebo","teal"
"8364",8364,0,"placebo","red"
"5611",5611,0,"jellybean","tan"
"7228",7228,0,"placebo","mauve"
"476",476,0,"placebo","purple"
"2944",2944,0,"placebo","salmon"
"5899",5899,0,"jellybean","tan"
"8285",8285,0,"jellybean","red"
"6263",6263,0,"jellybean","cyan"
"646",646,0,"placebo","brown"
"8203",8203,1,"jellybean","red"
"7224",7224,0,"placebo","mauve"
"4564",4564,0,"placebo","yellow"
"6212",6212,0,"placebo","cyan"
"3308",3308,0,"placebo","green"
"8062",8062,0,"placebo","red"
"3103",3103,0,"jellybean","green"
"2857",2857,0,"jellybean","salmon"
"321",321,1,"jellybean","purple"
"500",500,0,"placebo","purple"
"9790",9790,0,"placebo","orange"
"4271",4271,0,"jellybean","magenta"
"1272",1272,0,"placebo","pink"
"6446",6446,1,"placebo","cyan"
"5557",5557,0,"jellybean","tan"
"9681",9681,0,"jellybean","orange"
"9760",9760,0,"placebo","orange"
"9522",9522,0,"placebo","orange"
"3493",3493,0,"jellybean","green"
"2025",2025,0,"jellybean","teal"
"3090",3090,0,"placebo","green"
"7019",7019,1,"jellybean","mauve"
"1598",1598,0,"placebo","blue"
"5862",5862,0,"placebo","tan"
"6757",6757,0,"jellybean","lilac"
"8779",8779,0,"jellybean","black"
"171",171,0,"jellybean","purple"
"233",233,0,"jellybean","purple"
"7723",7723,0,"jellybean","beige"
"1887",1887,0,"jellybean","blue"
"9787",9787,0,"jellybean","orange"
"3918",3918,0,"placebo","turquoise"
"6670",6670,0,"placebo","lilac"
"748",748,0,"placebo","brown"
"4241",4241,0,"jellybean","magenta"
"9540",9540,1,"placebo","orange"
"9711",9711,0,"jellybean","orange"
"3965",3965,0,"jellybean","turquoise"
"7857",7857,0,"jellybean","beige"
"4203",4203,0,"jellybean","magenta"
"5299",5299,0,"jellybean","grey"
"6879",6879,0,"jellybean","lilac"
"7587",7587,0,"jellybean","beige"
"6011",6011,0,"jellybean","cyan"
"8746",8746,0,"placebo","black"
"9974",9974,0,"placebo","orange"
"2138",2138,1,"placebo","teal"
"9333",9333,1,"jellybean","peach"
"4875",4875,0,"jellybean","yellow"
"197",197,0,"jellybean","purple"
"9368",9368,0,"placebo","peach"
"2027",2027,0,"jellybean","teal"
"6718",6718,0,"placebo","lilac"
"8546",8546,1,"placebo","black"
"4424",4424,0,"placebo","magenta"
"5710",5710,0,"placebo","tan"
"2433",2433,0,"jellybean","teal"
"4740",4740,0,"placebo","yellow"
"7146",7146,0,"placebo","mauve"
"7847",7847,0,"jellybean","beige"
"1444",1444,0,"placebo","pink"
"7100",7100,0,"placebo","mauve"
"8789",8789,1,"jellybean","black"
"8064",8064,0,"placebo","red"
"5050",5050,1,"placebo","grey"
"7724",7724,0,"placebo","beige"
"9425",9425,0,"jellybean","peach"
"3477",3477,0,"jellybean","green"
"8543",8543,1,"jellybean","black"
"9492",9492,0,"placebo","peach"
"5228",5228,1,"placebo","grey"
"4757",4757,0,"jellybean","yellow"
"8605",8605,0,"jellybean","black"
"515",515,0,"jellybean","brown"
"2828",2828,0,"placebo","salmon"
"9965",9965,0,"jellybean","orange"
"3311",3311,0,"jellybean","green"
"9789",9789,0,"jellybean","orange"
"8130",8130,0,"placebo","red"
"5214",5214,0,"placebo","grey"
"2578",2578,0,"placebo","salmon"
"6279",6279,0,"jellybean","cyan"
"216",216,0,"placebo","purple"
"9693",9693,0,"jellybean","orange"
"4978",4978,0,"placebo","yellow"
"3771",3771,1,"jellybean","turquoise"
"8412",8412,0,"placebo","red"
"8834",8834,0,"placebo","black"
"2570",2570,1,"placebo","salmon"
"7517",7517,1,"jellybean","beige"
"6318",6318,0,"placebo","cyan"
"1459",1459,1,"jellybean","pink"
"7483",7483,0,"jellybean","mauve"
"8265",8265,0,"jellybean","red"
"334",334,1,"placebo","purple"
"7570",7570,1,"placebo","beige"
"6276",6276,0,"placebo","cyan"
"512",512,0,"placebo","brown"
"7310",7310,0,"placebo","mauve"
"357",357,0,"jellybean","purple"
"2997",2997,1,"jellybean","salmon"
"4990",4990,0,"placebo","yellow"
"970",970,0,"placebo","brown"
"7753",7753,0,"jellybean","beige"
"5454",5454,1,"placebo","grey"
"6197",6197,1,"jellybean","cyan"
"337",337,0,"jellybean","purple"
"9281",9281,0,"jellybean","peach"
"2971",2971,0,"jellybean","salmon"
"8787",8787,0,"jellybean","black"
"7608",7608,0,"placebo","beige"
"3185",3185,0,"jellybean","green"
"4090",4090,0,"placebo","magenta"
"2143",2143,0,"jellybean","teal"
"4283",4283,0,"jellybean","magenta"
"1234",1234,0,"placebo","pink"
"5785",5785,0,"jellybean","tan"
"6551",6551,0,"jellybean","lilac"
"1898",1898,1,"placebo","blue"
"952",952,0,"placebo","brown"
"9606",9606,0,"placebo","orange"
"6163",6163,0,"jellybean","cyan"
"3459",3459,0,"jellybean","green"
"7358",7358,0,"placebo","mauve"
"112",112,0,"placebo","purple"
"1694",1694,1,"placebo","blue"
"9837",9837,0,"jellybean","orange"
"1528",1528,0,"placebo","blue"
"9106",9106,1,"placebo","peach"
"6924",6924,0,"placebo","lilac"
"9847",9847,0,"jellybean","orange"
"3162",3162,0,"placebo","green"
"886",886,1,"placebo","brown"
"4230",4230,0,"placebo","magenta"
"2637",2637,1,"jellybean","salmon"
"6186",6186,1,"placebo","cyan"
"6085",6085,0,"jellybean","cyan"
"7162",7162,0,"placebo","mauve"
"4047",4047,0,"jellybean","magenta"
"5077",5077,1,"jellybean","grey"
"9073",9073,0,"jellybean","peach"
"3772",3772,1,"placebo","turquoise"
"7559",7559,0,"jellybean","beige"
"7851",7851,1,"jellybean","beige"
"1961",1961,1,"jellybean","blue"
"2715",2715,0,"jellybean","salmon"
"656",656,1,"placebo","brown"
"1703",1703,0,"jellybean","blue"
"8227",8227,0,"jellybean","red"
"3584",3584,1,"placebo","turquoise"
"5222",5222,0,"placebo","grey"
"3022",3022,0,"placebo","green"
"9103",9103,1,"jellybean","peach"
"7311",7311,0,"jellybean","mauve"
"8896",8896,1,"placebo","black"
"8649",8649,0,"jellybean","black"
"9925",9925,1,"jellybean","orange"
"4659",4659,0,"jellybean","yellow"
"4417",4417,0,"jellybean","magenta"
"8874",8874,0,"placebo","black"
"327",327,1,"jellybean","purple"
"7768",7768,0,"placebo","beige"
"6947",6947,1,"jellybean","lilac"
"3935",3935,0,"jellybean","turquoise"
"4736",4736,0,"placebo","yellow"
"4738",4738,1,"placebo","yellow"
"4762",4762,0,"placebo","yellow"
"3523",3523,0,"jellybean","turquoise"
"4612",4612,0,"placebo","yellow"
"8461",8461,0,"jellybean","red"
"5064",5064,0,"placebo","grey"
"1836",1836,0,"placebo","blue"
"3982",3982,0,"placebo","turquoise"
"2099",2099,0,"jellybean","teal"
"9161",9161,1,"jellybean","peach"
"2598",2598,0,"placebo","salmon"
"6056",6056,0,"placebo","cyan"
"1321",1321,1,"jellybean","pink"
"3003",3003,0,"jellybean","green"
"6160",6160,0,"placebo","cyan"
"1610",1610,0,"placebo","blue"
"5302",5302,1,"placebo","grey"
"8794",8794,0,"placebo","black"
"4899",4899,0,"jellybean","yellow"
"7783",7783,0,"jellybean","beige"
"2052",2052,0,"placebo","teal"
"8196",8196,0,"placebo","red"
"5599",5599,0,"jellybean","tan"
"2991",2991,0,"jellybean","salmon"
"3333",3333,1,"jellybean","green"
"5769",5769,0,"jellybean","tan"
"517",517,0,"jellybean","brown"
"1397",1397,0,"jellybean","pink"
"7534",7534,1,"placebo","beige"
"3131",3131,0,"jellybean","green"
"5162",5162,0,"placebo","grey"
"579",579,0,"jellybean","brown"
"4812",4812,0,"placebo","yellow"
"4693",4693,0,"jellybean","yellow"
"9852",9852,0,"placebo","orange"
"1247",1247,0,"jellybean","pink"
"562",562,1,"placebo","brown"
"1093",1093,0,"jellybean","pink"
"6479",6479,0,"jellybean","cyan"
"4452",4452,0,"placebo","magenta"
"616",616,0,"placebo","brown"
"2081",2081,0,"jellybean","teal"
"1043",1043,0,"jellybean","pink"
"5100",5100,0,"placebo","grey"
"3586",3586,0,"placebo","turquoise"
"2101",2101,0,"jellybean","teal"
"3074",3074,0,"placebo","green"
"8890",8890,0,"placebo","black"
"7067",7067,0,"jellybean","mauve"
"1716",1716,1,"placebo","blue"
"1026",1026,0,"placebo","pink"
"5038",5038,0,"placebo","grey"
"7994",7994,0,"placebo","beige"
"7346",7346,1,"placebo","mauve"
"4037",4037,0,"jellybean","magenta"
"6545",6545,0,"jellybean","lilac"
"7535",7535,0,"jellybean","beige"
"9649",9649,0,"jellybean","orange"
"1038",1038,0,"placebo","pink"
"7505",7505,0,"jellybean","beige"
"2851",2851,1,"jellybean","salmon"
"5859",5859,0,"jellybean","tan"
"7277",7277,0,"jellybean","mauve"
"9663",9663,0,"jellybean","orange"
"348",348,0,"placebo","purple"
"3410",3410,0,"placebo","green"
"2303",2303,0,"jellybean","teal"
"1256",1256,1,"placebo","pink"
"3283",3283,0,"jellybean","green"
"77",77,0,"jellybean","purple"
"1058",1058,0,"placebo","pink"
"6621",6621,0,"jellybean","lilac"
"8311",8311,0,"jellybean","red"
"6580",6580,0,"placebo","lilac"
"8353",8353,1,"jellybean","red"
"3329",3329,0,"jellybean","green"
"7840",7840,1,"placebo","beige"
"8910",8910,0,"placebo","black"
"1347",1347,0,"jellybean","pink"
"162",162,0,"placebo","purple"
"4200",4200,0,"placebo","magenta"
"9781",9781,0,"jellybean","orange"
"8293",8293,0,"jellybean","red"
"1629",1629,0,"jellybean","blue"
"3529",3529,1,"jellybean","turquoise"
"4409",4409,1,"jellybean","magenta"
"1143",1143,0,"jellybean","pink"
"1275",1275,1,"jellybean","pink"
"8264",8264,1,"placebo","red"
"4542",4542,0,"placebo","yellow"
"3675",3675,1,"jellybean","turquoise"
"1742",1742,1,"placebo","blue"
"9238",9238,0,"placebo","peach"
"9150",9150,0,"placebo","peach"
"1811",1811,0,"jellybean","blue"
"7265",7265,0,"jellybean","mauve"
"8945",8945,0,"jellybean","black"
"985",985,1,"jellybean","brown"
"8703",8703,0,"jellybean","black"
"1763",1763,0,"jellybean","blue"
"6838",6838,0,"placebo","lilac"
"9728",9728,0,"placebo","orange"
"1323",1323,1,"jellybean","pink"
"2407",2407,0,"jellybean","teal"
"709",709,0,"jellybean","brown"
"4253",4253,0,"jellybean","magenta"
"6477",6477,1,"jellybean","cyan"
"7154",7154,0,"placebo","mauve"
"3976",3976,0,"placebo","turquoise"
"8584",8584,0,"placebo","black"
"5566",5566,0,"placebo","tan"
"4856",4856,0,"placebo","yellow"
"1882",1882,0,"placebo","blue"
"3136",3136,0,"placebo","green"
"6493",6493,0,"jellybean","cyan"
"7208",7208,0,"placebo","mauve"
"7716",7716,0,"placebo","beige"
"6984",6984,0,"placebo","lilac"
"9783",9783,1,"jellybean","orange"
"8473",8473,0,"jellybean","red"
"1467",1467,1,"jellybean","pink"
"2980",2980,0,"placebo","salmon"
"394",394,0,"placebo","purple"
"9014",9014,0,"placebo","peach"
"6586",6586,0,"placebo","lilac"
"9917",9917,0,"jellybean","orange"
"4959",4959,1,"jellybean","yellow"
"4396",4396,0,"placebo","magenta"
"1398",1398,0,"placebo","pink"
"3247",3247,1,"jellybean","green"
"7172",7172,0,"placebo","mauve"
"9093",9093,0,"jellybean","peach"
"7202",7202,0,"placebo","mauve"
"9951",9951,0,"jellybean","orange"
"9088",9088,0,"placebo","peach"
"1890",1890,0,"placebo","blue"
"9906",9906,0,"placebo","orange"
"3255",3255,1,"jellybean","green"
"4184",4184,1,"placebo","magenta"
"1212",1212,1,"placebo","pink"
"9575",9575,0,"jellybean","orange"
"6931",6931,1,"jellybean","lilac"
"422",422,0,"placebo","purple"
"5514",5514,0,"placebo","tan"
"7543",7543,0,"jellybean","beige"
"3703",3703,1,"jellybean","turquoise"
"1684",1684,0,"placebo","blue"
"5261",5261,0,"jellybean","grey"
"2757",2757,0,"jellybean","salmon"
"4642",4642,0,"placebo","yellow"
"1616",1616,0,"placebo","blue"
"2718",2718,0,"placebo","salmon"
"6723",6723,0,"jellybean","lilac"
"192",192,0,"placebo","purple"
"1927",1927,0,"jellybean","blue"
"2390",2390,0,"placebo","teal"
"9571",9571,0,"jellybean","orange"
"8958",8958,0,"placebo","black"
"4972",4972,0,"placebo","yellow"
"7674",7674,0,"placebo","beige"
"2791",2791,0,"jellybean","salmon"
"4341",4341,0,"jellybean","magenta"
"3937",3937,0,"jellybean","turquoise"
"4105",4105,0,"jellybean","magenta"
"6465",6465,0,"jellybean","cyan"
"3951",3951,1,"jellybean","turquoise"
"9216",9216,1,"placebo","peach"
"4784",4784,0,"placebo","yellow"
"3417",3417,1,"jellybean","green"
"3787",3787,0,"jellybean","turquoise"
"6367",6367,0,"jellybean","cyan"
"2420",2420,0,"placebo","teal"
"4287",4287,0,"jellybean","magenta"
"3141",3141,1,"jellybean","green"
"3834",3834,0,"placebo","turquoise"
"5928",5928,1,"placebo","tan"
"8486",8486,0,"placebo","red"
"7085",7085,0,"jellybean","mauve"
"2187",2187,1,"jellybean","teal"
"8025",8025,0,"jellybean","red"
"130",130,0,"placebo","purple"
"3372",3372,0,"placebo","green"
"1883",1883,0,"jellybean","blue"
"907",907,0,"jellybean","brown"
"7954",7954,0,"placebo","beige"
"2424",2424,0,"placebo","teal"
"6908",6908,0,"placebo","lilac"
"5221",5221,0,"jellybean","grey"
"7536",7536,0,"placebo","beige"
"3390",3390,0,"placebo","green"
"3704",3704,0,"placebo","turquoise"
"6956",6956,0,"placebo","lilac"
"7637",7637,0,"jellybean","beige"
"2873",2873,0,"jellybean","salmon"
"1564",1564,0,"placebo","blue"
"2227",2227,0,"jellybean","teal"
"9241",9241,0,"jellybean","peach"
"6573",6573,1,"jellybean","lilac"
"4198",4198,1,"placebo","magenta"
"6938",6938,0,"placebo","lilac"
"5760",5760,0,"placebo","tan"
"7471",7471,1,"jellybean","mauve"
"2668",2668,0,"placebo","salmon"
"3587",3587,0,"jellybean","turquoise"
"7226",7226,1,"placebo","mauve"
"6505",6505,0,"jellybean","lilac"
"6220",6220,1,"placebo","cyan"
"9040",9040,0,"placebo","peach"
"2958",2958,0,"placebo","salmon"
"8980",8980,0,"placebo","black"
"4009",4009,0,"jellybean","magenta"
"1039",1039,0,"jellybean","pink"
"678",678,0,"placebo","brown"
"3649",3649,0,"jellybean","turquoise"
"3897",3897,0,"jellybean","turquoise"
"7304",7304,1,"placebo","mauve"
"9432",9432,0,"placebo","peach"
"3423",3423,1,"jellybean","green"
"5907",5907,1,"jellybean","tan"
"7056",7056,0,"placebo","mauve"
"4048",4048,0,"placebo","magenta"
"7466",7466,0,"placebo","mauve"
"6450",6450,0,"placebo","cyan"
"7425",7425,0,"jellybean","mauve"
"1549",1549,0,"jellybean","blue"
"6631",6631,0,"jellybean","lilac"
"5482",5482,0,"placebo","grey"
"5828",5828,0,"placebo","tan"
"2574",2574,0,"placebo","salmon"
"4164",4164,0,"placebo","magenta"
"3010",3010,1,"placebo","green"
"6148",6148,0,"placebo","cyan"
"5025",5025,0,"jellybean","grey"
"5082",5082,0,"placebo","grey"
"8513",8513,0,"jellybean","black"
"5305",5305,1,"jellybean","grey"
"5549",5549,0,"jellybean","tan"
"5925",5925,0,"jellybean","tan"
"7266",7266,0,"placebo","mauve"
"6627",6627,0,"jellybean","lilac"
"4006",4006,0,"placebo","magenta"
"5465",5465,0,"jellybean","grey"
"6433",6433,1,"jellybean","cyan"
"8282",8282,0,"placebo","red"
"5442",5442,0,"placebo","grey"
"3240",3240,0,"placebo","green"
"2869",2869,0,"jellybean","salmon"
"3853",3853,0,"jellybean","turquoise"
"9135",9135,0,"jellybean","peach"
"8281",8281,0,"jellybean","red"
"3941",3941,1,"jellybean","turquoise"
"2607",2607,0,"jellybean","salmon"
"9027",9027,0,"jellybean","peach"
"8340",8340,1,"placebo","red"
"1246",1246,0,"placebo","pink"
"7996",7996,0,"placebo","beige"
"6881",6881,0,"jellybean","lilac"
"2481",2481,0,"jellybean","teal"
"1968",1968,0,"placebo","blue"
"2605",2605,0,"jellybean","salmon"
"4931",4931,0,"jellybean","yellow"
"3743",3743,1,"jellybean","turquoise"
"8385",8385,0,"jellybean","red"
"1015",1015,0,"jellybean","pink"
"4878",4878,0,"placebo","yellow"
"7468",7468,1,"placebo","mauve"
"7513",7513,0,"jellybean","beige"
"8841",8841,0,"jellybean","black"
"9267",9267,0,"jellybean","peach"
"7881",7881,0,"jellybean","beige"
"7792",7792,0,"placebo","beige"
"3366",3366,0,"placebo","green"
"5941",5941,1,"jellybean","tan"
"2274",2274,0,"placebo","teal"
"747",747,0,"jellybean","brown"
"2989",2989,0,"jellybean","salmon"
"7566",7566,0,"placebo","beige"
"6982",6982,1,"placebo","lilac"
"9136",9136,0,"placebo","peach"
"5604",5604,0,"placebo","tan"
"701",701,1,"jellybean","brown"
"1680",1680,0,"placebo","blue"
"7414",7414,0,"placebo","mauve"
"9412",9412,0,"placebo","peach"
"4851",4851,0,"jellybean","yellow"
